yaml_file	total_tokens	protein_length	rna_length	dna_length	ligand_count	elapsed_seconds	memory_used_mb	memory_total_mb	memory_percent	gpu_util	temperature	success	job_runtime_seconds
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	6.337	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	6.923	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	7.453	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	7.98	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	8.507	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	9.034	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	9.561	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	10.088	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	10.615	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	11.141	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	11.665	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	12.184	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	12.719	0	81920	0.0	0	31	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	13.326	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	13.845	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	14.375	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	14.893	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	15.411	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	15.934	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	16.559	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	17.081	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	17.601	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	18.76	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	19.284	0	81920	0.0	0	32	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	20.009	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	20.526	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	21.065	0	81920	0.0	0	33	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	21.755	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	22.522	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	23.196	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	23.716	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	24.237	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	24.836	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	25.505	0	81920	0.0	0	34	True	46.10
gr24_A0A1I9LPH3.yaml	50	50	0	0	1	26.201	0	81920	0.0	0	34	True	46.10
